id,seq,rank,nametest,namecat,namecat2,tag1,tag2,tag3
127,14,0,19b,奥数杂题,数字谜,加法算式,数字和,
126,13,0,19b,奥数杂题,最值问题,构造,,
125,12,0,19b,几何问题,五大模型,风筝模型,,
124,11,0,19b,行程问题,变速问题,理解题意,,
123,10,0,19b,应用题,浓度问题,,,
122,9,0,19b,计数问题,几何图形计数,操作类问题,,
121,8,0,19b,几何问题,勾股定理与弦图,画图,三点共线,
120,7,0,19b,奥数杂题,不定方程,奇偶分析,位值原理,
119,6,0,19b,计数问题,容斥原理,不等式,比较与估算,
118,5,0,19b,数论,约数倍数,积定和最大,不等书,
117,4,0,19b,几何问题,格点与面积,一半模型,,
116,3,0,19b,计数问题,枚举法,分类讨论,排除法,
115,2,0,19b,数论,约数倍数,等差数列,,
114,1,0,19b,几何问题,圆与扇形,题意理解,活动范围,
113,14,0,18c,计数问题,排列组合,,,
112,13,0,18c,奥数杂题,最值问题,平面图形面积,,
111,12,0,18c,计数问题,枚举法,竞赛,,
110,11,0,18c,数论问题,约数倍数,,,
109,10,0,18c,应用题,列方程解应用题,,,
108,9,0,18c,几何问题,平面图形面积,正方形,,
107,8,0,18c,奥数杂题,数阵图与数字谜,汉字短语,,
106,7,0,18c,计数问题,枚举法,循环小数化分数,,
105,6,0,18c,几何问题,立体图形的表面积和体积,正方体,,
104,5,0,18c,数论问题,位值原理,方程,,
103,4,0,18c,几何问题,平面图形面积,辅助线,,
102,3,0,18c,奥数杂题,最值问题,分类讨论,,
101,2,0,18c,奥数杂题,日期计算,,,
100,1,0,18c,计算问题,找规律,,,
98,13,0,18b,计数问题,几何图形计数,,,
97,12,0,18b,计数问题,几何图形计数,正方体,理解题意,骰子
96,11,0,18b,应用题,植树问题,,,
95,10,0,18b,几何问题,平面图形面积,,,
94,9,0,18b,计数问题,几何图形计数,长方形,,
93,8,0,18b,奥数杂题,数阵图与数字谜,汉字短语,,
92,7,0,18b,行程问题,二次相遇,变速问题,,
91,6,0,18b,几何问题,立体图形的表面积和体积,正方体,,
90,5,0,18b,数论问题,余数问题,暴力枚举,,
89,4,0,18b,几何问题,平面图形面积,辅助线,,
88,3,0,18b,数论问题,数的整除,分数计算,,
87,2,0,18b,奥数杂题,日期计算,,,
86,1,0,18b,计算问题,找规律,凑整,,
85,14,0,18b,计数问题,排列组合,,,
84,14,0,18a,数论问题,约数倍数,方程,,
83,13,0,18a,计数问题,几何图形计数,,,
82,12,0,18a,奥数杂题,数阵图与数字谜,,,
81,11,0,18a,行程问题,流水行船,走走停停,,
80,10,0,18a,应用题,年龄问题,,,
79,9,0,18a,计算问题,找规律,算24,,
78,8,0,18a,计数问题,几何图形计数,正方体,理解题意,骰子
77,7,0,18a,数论问题,约数倍数,,,
76,6,0,18a,几何问题,立体图形的表面积和体积,正方体,,
75,5,0,18a,数论问题,余数问题,暴力枚举,,
74,4,0,18a,几何问题,勾股定理与弦图,平面图形的面积,,
73,3,0,18a,数论问题,数的整除,分数计算,,
72,2,0,18a,奥数杂题,日期计算,,,
71,1,0,18a,计算问题,找规律,凑整,,
70,14,0,19c,奥数杂题,染色问题,,,
69,13,0,19c,奥数杂题,最值问题,排列组合,,
68,12,0,19c,数论问题,完全平方数,,,
67,11,0,19c,计数问题,几何图形计数,,,
66,10,0,19c,计算问题,找规律,最简分数,通项归纳,
65,9,0,19c,奥数杂题,最值问题,分类讨论,,
64,8,0,19c,几何问题,五大模型,比例模型,平面图形的面积,
63,7,0,19c,计数问题,几何图形计数,立体图形,俯视图,
62,6,0,19c,应用题,工程问题,方程,理解题意,
61,5,0,19c,计算问题,比较与估算,构造,,
60,4,0,19c,几何问题,其它直线型几何问题,理解题意,,
59,3,0,19c,几何问题,五大模型,比例模型,辅助线,平面图形的面积
58,2,0,19c,奥数杂题,数阵图与数字谜,,,
57,1,0,19c,计算问题,繁分数的计算,,,
56,14,0,19a,奥数杂题,数字谜,加法算式,数字和,
55,13,0,19a,奥数杂题,最值问题,构造,,
54,12,0,19a,几何问题,五大模型,风筝模型,,
53,11,0,19a,行程问题,变速问题,理解题意,,
52,10,0,19a,应用题,浓度问题,,,
51,9,0,19a,计数问题,几何图形计数,操作类问题,,
50,8,0,19a,几何问题,勾股定理与弦图,画图,三点共线,
49,7,0,19a,奥数杂题,不定方程,奇偶分析,位值原理,
48,6,0,19a,计数问题,容斥原理,不等式,比较与估算,
47,5,0,19a,数论问题,约数倍数,积定和最大,不等书,
46,4,0,19a,几何问题,格点与面积,一半模型,,
45,3,0,19a,计数问题,枚举法,分类讨论,排除法,
44,2,0,19a,数论问题,约数倍数,等差数列,,
43,1,0,19a,几何问题,圆与扇形,题意理解,活动范围,
42,14,0,20c,奥数杂题,最值问题,,,
41,13,0,20c,几何问题,平面图形面积,一半模型,方程,
40,12,0,20c,数论问题,位值原理,最值问题,比较与估算,
39,11,0,20c,计算问题,比较与估算,不定方程,,
38,10,0,20c,计算问题,循环小数化分数,枚举法,,
37,9,0,20c,行程问题,多人行程,相遇,理解题意,
36,8,0,20c,奥数杂题,数阵图与数字谜,,,
35,7,0,20c,计算问题,方程,,,
34,6,0,20c,几何问题,立体图形的表面积体积,,,
33,5,0,20c,几何问题,格点与面积,,,
32,4,0,20c,几何问题,五大模型,等积变换,辅助线,
