idi,指数名称,股票总数,净涨跌停数,净涨跌数,净涨跌数(中幅涨跌),净涨跌数(小幅涨跌),日期
000001,上证指数,992,13,-484,29,-15,2016-02-05
000001,上证指数,992,38,914,65,172,2016-02-04
000001,上证指数,993,14,-29,30,52,2016-02-03
000001,上证指数,991,27,961,83,362,2016-02-02
000001,上证指数,995,-7,-485,79,-132,2016-02-01
000001,上证指数,995,24,925,101,519,2016-01-29
000001,上证指数,994,-55,-858,325,-590,2016-01-28
000001,上证指数,993,5,-423,88,-137,2016-01-27
000001,上证指数,990,-254,-946,795,-909,2016-01-26
000001,上证指数,993,21,711,55,111,2016-01-25
000001,上证指数,990,14,748,48,99,2016-01-22
000001,上证指数,991,-23,-905,223,-619,2016-01-21
000001,上证指数,990,7,-422,33,4,2016-01-20
000001,上证指数,987,46,973,145,535,2016-01-19
000001,上证指数,982,13,562,45,105,2016-01-18
000001,上证指数,983,-20,-847,254,-620,2016-01-15
000001,上证指数,983,19,891,96,350,2016-01-14
000001,上证指数,977,-37,-865,200,-480,2016-01-13
000001,上证指数,980,-28,128,80,-79,2016-01-12
000001,上证指数,976,-357,-912,695,-845,2016-01-11
000001,上证指数,978,-231,-932,703,-832,2016-01-08
000001,上证指数,978,52,930,102,250,2016-01-06
000001,上证指数,977,18,-313,148,-202,2016-01-05
000001,上证指数,972,-378,-960,882,-937,2016-01-04
000001,上证指数,955,2,-613,12,-68,2015-12-31
000001,上证指数,970,8,256,25,67,2015-12-30
000001,上证指数,975,12,579,36,72,2015-12-29
000001,上证指数,977,1,-725,78,-334,2015-12-28
000001,上证指数,976,11,372,31,79,2015-12-25
000001,上证指数,968,11,-220,37,17,2015-12-24
000001,上证指数,966,11,-436,26,-63,2015-12-23
000001,上证指数,966,24,204,41,86,2015-12-22
000001,上证指数,968,23,482,51,136,2015-12-21
000001,上证指数,970,21,-226,39,65,2015-12-18
000001,上证指数,972,31,946,52,193,2015-12-17
000001,上证指数,973,14,55,37,71,2015-12-16
000001,上证指数,971,17,221,40,77,2015-12-15
000001,上证指数,965,26,773,58,144,2015-12-14
000001,上证指数,961,5,-331,29,-45,2015-12-11
000001,上证指数,962,10,-258,35,-24,2015-12-10
000001,上证指数,960,14,-222,43,20,2015-12-09
000001,上证指数,960,16,-652,45,-327,2015-12-08
000001,上证指数,956,20,388,44,127,2015-12-07
000001,上证指数,953,13,-325,26,36,2015-12-04
000001,上证指数,948,25,770,55,178,2015-12-03
000001,上证指数,954,12,-20,75,-1,2015-12-02
000001,上证指数,953,11,271,82,79,2015-12-01
000001,上证指数,955,37,-71,112,94,2015-11-30
000001,上证指数,950,-80,-866,651,-799,2015-11-27
000001,上证指数,953,22,-247,47,44,2015-11-26
000001,上证指数,954,35,548,58,125,2015-11-25
000001,上证指数,953,22,95,64,116,2015-11-24
000001,上证指数,949,20,-307,56,6,2015-11-23
000001,上证指数,945,39,235,77,156,2015-11-20
000001,上证指数,946,27,834,73,168,2015-11-19
000001,上证指数,943,3,-557,47,-156,2015-11-18
000001,上证指数,939,20,-299,37,16,2015-11-17
000001,上证指数,939,25,573,76,179,2015-11-16
000001,上证指数,931,3,-487,112,-194,2015-11-13
000001,上证指数,929,36,-151,87,161,2015-11-12
000001,上证指数,924,28,400,68,168,2015-11-11
000001,上证指数,923,20,-19,46,83,2015-11-10
000001,上证指数,921,36,299,80,154,2015-11-09
000001,上证指数,919,35,845,82,184,2015-11-06
